Lithology,GeologicalFormationThickness(m),ReservoirThickness(m),GasPermeability(mD),LiquidPermeability(mD),RFC_P10,RFC_P25,RFC_P50,RFC_P75,RFC_P90
Sandstone,9.144,15.86,1,0.80054,4.0522,6.7031,10.767,16.422,23.438
Sandstone,7.62,6.1,1,0.80054,2.1041,2.9383,4.2488,6.0883,8.3882
Sandstone,3.9624,1.22,1,0.80054,0.42082,0.58766,0.84977,1.2177,1.6776
Sandstone,7.0104,12.19,1,0.80054,4.2047,5.8718,8.4907,12.167,16.763
Sandstone,6.858,3.05,1,0.80054,1.1331,1.5336,2.1528,3.0174,4.0874
Sandstone,7.62,1.53,1,0.80054,0.56843,0.76929,1.0799,1.5137,2.0504
Sandstone,9.144,2.44,1,0.80054,0.90651,1.2268,1.7223,2.4139,3.2699
Sandstone,8.8392,3.35,1,0.80054,1.0235,1.5203,2.3012,3.3988,4.7629
Sandstone,9.144,12.8,1,0.80054,4.4151,6.1656,8.9156,12.775,17.601
Sandstone,7.4676,7.32,1,0.80054,2.7195,3.6805,5.1668,7.2418,9.8096
Sandstone,7.62,1.98,1,0.80054,0.73561,0.99555,1.3976,1.9588,2.6534
Sandstone,9.144,4.88,1,0.80054,1.6833,2.3506,3.3991,4.8706,6.7106
Sandstone,7.7724,2.59,1,0.80054,0.79131,1.1754,1.7791,2.6277,3.6824
Sandstone,9.144,2.13,1,0.80054,0.54422,0.90023,1.446,2.2054,3.1477
Sandstone,8.382,1.22,1,0.80054,0.4715,0.6297,0.86998,1.2002,1.6089
Sandstone,7.3152,20.73,1,0.80054,7.1504,9.9854,14.439,20.69,28.506
Sandstone,8.2296,7.02,1,0.80054,2.4214,3.3815,4.8897,7.0065,9.6533
Sandstone,8.2296,3.05,1,0.80054,0.93185,1.3841,2.0951,3.0944,4.3364
Limestone,18.288,25.45,22.4,17.50451,142.18,235.19,377.78,576.19,822.36
Limestone,23.7744,14.33,22.4,17.50451,80.058,132.43,212.72,324.43,463.04
Limestone,57.912,28.98,22.4,17.50451,161.9,267.82,430.18,656.11,936.43
